Stagione,Data,Ora,Casa,Ospite,GolCasa,GolOspite,Esito,Arbitro,Giornata,QuartoUomo,Var,Avar,FalliCasa,FalliOspite,GialliCasa,GialliOspite,RossiCasa,RossiOspite
2024/25,28/03/2025,17:30,Ulm,Darmstadt,2,1,H,,,,,,13,12,5,1,0,0
2024/25,29/03/2025,12:00,Hannover,Magdeburg,0,0,D,,,,,,9,14,0,2,0,0
2024/25,29/03/2025,12:00,Hertha,Karlsruhe,3,1,H,,,,,,7,12,3,5,0,0
2024/25,29/03/2025,19:30,Kaiserslautern,Dusseldorf,3,1,H,,,,,,13,13,2,5,0,0
2024/25,29/03/2025,12:00,Paderborn,FC Koln,1,2,A,,,,,,14,12,3,1,0,0
2024/25,30/03/2025,12:30,Greuther Furth,Schalke 04,3,3,D,,,,,,11,10,2,3,0,0
2024/25,30/03/2025,12:30,Preußen Münster,Braunschweig,1,1,D,,,,,,16,14,4,2,0,0
2024/25,30/03/2025,12:30,Regensburg,Nurnberg,2,1,H,,,,,,21,14,3,3,0,0
2024/25,04/04/2025,17:30,Braunschweig,Paderborn,3,2,H,,,,,,9,9,1,2,0,0
2024/25,04/04/2025,17:30,Karlsruhe,Hannover,1,0,H,,,,,,12,14,4,1,0,0
2024/25,05/04/2025,12:00,Darmstadt,Greuther Furth,1,0,H,,,,,,9,14,0,1,0,0
2024/25,05/04/2025,12:00,Dusseldorf,Preußen Münster,1,0,H,,,,,,15,13,2,1,1,0
2024/25,05/04/2025,19:30,FC Koln,Hertha,0,1,A,,,,,,11,8,1,4,0,0
2024/25,05/04/2025,12:00,Nurnberg,Hamburg,0,3,A,,,,,,5,10,4,2,1,0
2024/25,06/04/2025,12:30,Elversberg,Regensburg,6,0,H,,,,,,7,22,2,3,0,0
2024/25,06/04/2025,12:30,Magdeburg,Kaiserslautern,2,0,H,,,,,,18,13,3,1,0,0
2024/25,06/04/2025,12:30,Schalke 04,Ulm,2,1,H,,,,,,15,10,3,0,1,0
